Frequency,Amplitude
 6.6599 kHz, 283.81 mV
 6.6599 kHz, 283.81 mV
 6.6794 kHz, 282.97 mV
 6.6794 kHz, 282.97 mV
 6.6968 kHz, 282.46 mV
 6.6989 kHz, 282.13 mV
 6.7043 kHz, 282.13 mV
 6.7184 kHz, 281.62 mV
 6.7184 kHz, 281.79 mV
 6.7380 kHz, 280.78 mV
 6.7380 kHz, 280.28 mV
 6.7560 kHz, 279.94 mV
 6.7575 kHz, 280.11 mV
 6.7642 kHz, 280.11 mV
 6.7770 kHz, 279.27 mV
 6.7770 kHz, 279.27 mV
 6.7965 kHz, 278.43 mV
 6.7965 kHz, 278.60 mV
 6.8161 kHz, 277.93 mV
 6.8161 kHz, 277.42 mV
 6.8270 kHz, 277.26 mV
 6.8357 kHz, 277.09 mV
 6.8390 kHz, 277.09 mV
 6.8551 kHz, 276.42 mV
 6.8552 kHz, 276.25 mV
 6.8747 kHz, 275.41 mV
 6.8747 kHz, 275.58 mV
 6.8870 kHz, 274.91 mV
 6.8942 kHz, 274.91 mV
 6.8942 kHz, 274.91 mV
 6.9138 kHz, 274.23 mV
 6.9138 kHz, 274.40 mV
 6.9333 kHz, 273.56 mV
 6.9333 kHz, 273.56 mV
 6.9428 kHz, 272.89 mV
 6.9528 kHz, 272.89 mV
 6.9531 kHz, 272.89 mV
 6.9724 kHz, 272.05 mV
 6.9724 kHz, 272.05 mV
 6.9919 kHz, 271.21 mV
 6.9919 kHz, 271.38 mV
 7.0003 kHz, 270.54 mV
 7.0114 kHz, 270.71 mV
 7.0114 kHz, 270.71 mV
 7.0309 kHz, 270.04 mV
 7.0309 kHz, 269.87 mV
 7.0468 kHz, 269.20 mV
 7.0505 kHz, 269.36 mV
 7.0579 kHz, 268.86 mV
 7.0700 kHz, 268.52 mV
 7.0700 kHz, 268.69 mV
 7.0895 kHz, 267.85 mV
 7.0896 kHz, 268.02 mV
 7.1091 kHz, 267.01 mV
 7.1091 kHz, 267.35 mV
 7.1249 kHz, 266.68 mV
 7.1286 kHz, 266.51 mV
 7.1335 kHz, 266.34 mV
 7.1481 kHz, 265.84 mV
 7.1481 kHz, 265.67 mV
 7.1678 kHz, 265.17 mV
 7.1677 kHz, 265.17 mV
 7.1872 kHz, 264.49 mV
 7.1872 kHz, 264.66 mV
 7.1991 kHz, 263.82 mV
 7.2067 kHz, 263.82 mV
 7.2263 kHz, 263.15 mV
 7.2263 kHz, 263.15 mV
 7.2381 kHz, 262.31 mV
 7.2458 kHz, 262.31 mV
 7.2475 kHz, 262.48 mV
 7.2653 kHz, 261.97 mV
 7.2654 kHz, 261.64 mV
 7.2848 kHz, 261.13 mV
 7.2849 kHz, 261.13 mV
 7.3031 kHz, 260.63 mV
 7.3043 kHz, 260.63 mV
 7.3127 kHz, 259.96 mV
 7.3239 kHz, 259.96 mV
 7.3253 kHz, 259.79 mV
 7.3434 kHz, 259.12 mV
 7.3434 kHz, 259.12 mV
 7.3630 kHz, 258.62 mV
 7.3629 kHz, 258.62 mV
 7.3771 kHz, 257.94 mV
 7.3825 kHz, 257.94 mV
 7.3886 kHz, 257.78 mV
 7.4020 kHz, 257.44 mV
 7.4167 kHz, 256.60 mV
 7.4216 kHz, 256.60 mV
 7.4260 kHz, 256.60 mV
 7.4411 kHz, 256.10 mV
 7.4412 kHz, 255.76 mV
 7.4606 kHz, 255.26 mV
 7.4607 kHz, 255.42 mV
 7.4802 kHz, 254.75 mV
 7.4802 kHz, 254.75 mV
 7.4948 kHz, 254.08 mV
 7.4997 kHz, 254.25 mV
 7.5025 kHz, 254.25 mV
 7.5192 kHz, 253.41 mV
 7.5193 kHz, 253.58 mV
 7.5388 kHz, 253.07 mV
 7.5387 kHz, 252.74 mV
 7.5500 kHz, 252.57 mV
 7.5583 kHz, 252.40 mV
 7.5593 kHz, 252.23 mV
 7.5779 kHz, 251.73 mV
 7.5778 kHz, 251.73 mV
 7.5973 kHz, 251.06 mV
 7.5973 kHz, 251.06 mV
 7.6130 kHz, 250.55 mV
 7.6169 kHz, 250.39 mV
 7.6230 kHz, 250.22 mV
 7.6364 kHz, 249.88 mV
 7.6364 kHz, 249.88 mV
 7.6559 kHz, 249.38 mV
 7.6560 kHz, 249.21 mV
 7.6745 kHz, 248.54 mV
 7.6755 kHz, 248.71 mV
 7.6816 kHz, 248.20 mV
 7.6950 kHz, 248.20 mV
 7.6950 kHz, 248.04 mV
 7.7145 kHz, 247.53 mV
 7.7145 kHz, 247.53 mV
 7.7308 kHz, 246.69 mV
 7.7341 kHz, 246.86 mV
 7.7395 kHz, 246.69 mV
 7.7536 kHz, 246.36 mV
 7.7536 kHz, 246.19 mV
 7.7731 kHz, 245.68 mV
 7.7731 kHz, 245.68 mV
 7.7906 kHz, 245.01 mV
 7.7927 kHz, 245.18 mV
 7.8001 kHz, 244.68 mV
 7.8122 kHz, 244.51 mV
 7.8122 kHz, 244.68 mV
 7.8317 kHz, 244.01 mV
 7.8318 kHz, 243.84 mV
 7.8486 kHz, 243.50 mV
 7.8513 kHz, 243.33 mV
 7.8576 kHz, 243.33 mV
 7.8708 kHz, 242.83 mV
 7.8708 kHz, 243.00 mV
 7.8904 kHz, 242.33 mV
 7.8904 kHz, 242.16 mV
 7.9065 kHz, 241.82 mV
 7.9099 kHz, 241.65 mV
 7.9140 kHz, 241.49 mV
 7.9293 kHz, 241.15 mV
 7.9294 kHz, 241.15 mV
 7.9489 kHz, 240.65 mV
 7.9488 kHz, 240.65 mV
 7.9647 kHz, 240.14 mV
 7.9684 kHz, 239.98 mV
 7.9735 kHz, 239.81 mV
 7.9879 kHz, 239.47 mV
 7.9879 kHz, 239.47 mV
 8.0075 kHz, 238.80 mV
 8.0074 kHz, 238.80 mV
 8.0233 kHz, 238.63 mV
 8.0270 kHz, 238.30 mV
 8.0297 kHz, 238.13 mV
 8.0466 kHz, 237.79 mV
 8.0466 kHz, 237.96 mV
 8.0661 kHz, 237.29 mV
 8.0661 kHz, 237.29 mV
 8.0806 kHz, 236.95 mV
 8.0856 kHz, 236.78 mV
 8.0915 kHz, 236.28 mV
 8.1052 kHz, 236.11 mV
 8.1051 kHz, 236.11 mV
 8.1248 kHz, 235.61 mV
 8.1247 kHz, 235.44 mV
 8.1423 kHz, 234.94 mV
 8.1442 kHz, 235.11 mV
 8.1502 kHz, 234.94 mV
 8.1638 kHz, 234.27 mV
 8.1638 kHz, 234.60 mV
 8.1833 kHz, 234.10 mV
 8.1833 kHz, 234.27 mV
 8.1998 kHz, 233.09 mV
 8.2028 kHz, 233.59 mV
 8.2077 kHz, 233.59 mV
 8.2223 kHz, 233.09 mV
 8.2224 kHz, 232.92 mV
 8.2419 kHz, 232.25 mV
 8.2419 kHz, 232.59 mV
 8.2585 kHz, 231.75 mV
 8.2614 kHz, 232.08 mV
 8.2666 kHz, 231.75 mV
 8.2810 kHz, 231.41 mV
 8.2810 kHz, 231.58 mV
 8.3005 kHz, 230.91 mV
 8.3005 kHz, 230.74 mV
 8.3182 kHz, 230.40 mV
 8.3200 kHz, 230.40 mV
 8.3320 kHz, 230.24 mV
 8.3394 kHz, 229.90 mV
 8.3423 kHz, 229.73 mV
 8.3591 kHz, 229.40 mV
 8.3590 kHz, 229.40 mV
 8.3786 kHz, 228.89 mV
 8.3786 kHz, 228.72 mV
 8.3981 kHz, 228.39 mV
 8.3981 kHz, 228.39 mV
 8.4173 kHz, 227.88 mV
 8.4177 kHz, 227.88 mV
 8.4285 kHz, 227.55 mV
 8.4372 kHz, 227.38 mV
 8.4409 kHz, 227.38 mV
 8.4567 kHz, 226.88 mV
 8.4567 kHz, 226.71 mV
 8.4763 kHz, 226.54 mV
 8.4763 kHz, 226.20 mV
 8.4937 kHz, 225.87 mV
 8.4958 kHz, 226.04 mV
 8.5028 kHz, 225.70 mV
 8.5153 kHz, 225.37 mV
 8.5153 kHz, 225.53 mV
 8.5349 kHz, 225.03 mV
 8.5349 kHz, 225.03 mV
 8.5545 kHz, 224.19 mV
 8.5543 kHz, 224.53 mV
 8.5739 kHz, 224.02 mV
 8.5739 kHz, 224.02 mV
 8.5883 kHz, 223.52 mV
 8.5935 kHz, 223.52 mV
 8.6001 kHz, 223.01 mV
 8.6130 kHz, 222.85 mV
 8.6130 kHz, 223.18 mV
 8.6325 kHz, 222.34 mV
 8.6325 kHz, 222.51 mV
 8.6519 kHz, 221.84 mV
 8.6520 kHz, 221.84 mV
 8.6601 kHz, 221.84 mV
 8.6716 kHz, 221.33 mV
 8.6716 kHz, 221.50 mV
 8.6911 kHz, 221.00 mV
 8.6911 kHz, 221.00 mV
 8.7095 kHz, 220.66 mV
 8.7106 kHz, 220.66 mV
 8.7186 kHz, 220.33 mV
 8.7302 kHz, 220.16 mV
 8.7301 kHz, 220.16 mV
 8.7497 kHz, 219.66 mV
 8.7497 kHz, 219.82 mV
 8.7692 kHz, 219.32 mV
 8.7692 kHz, 219.32 mV
 8.7834 kHz, 218.82 mV
 8.7887 kHz, 218.65 mV
 8.7941 kHz, 218.65 mV
 8.8083 kHz, 218.31 mV
 8.8083 kHz, 218.48 mV
 8.8278 kHz, 217.81 mV
 8.8279 kHz, 217.98 mV
 8.8473 kHz, 217.47 mV
 8.8474 kHz, 217.64 mV
 8.8598 kHz, 216.80 mV
 8.8669 kHz, 216.97 mV
 8.8716 kHz, 216.63 mV
 8.8864 kHz, 216.30 mV
 8.8864 kHz, 216.46 mV
 8.9059 kHz, 216.13 mV
 8.9059 kHz, 215.96 mV
 8.9254 kHz, 215.46 mV
 8.9255 kHz, 215.46 mV
 8.9401 kHz, 215.12 mV
 8.9451 kHz, 215.12 mV
 8.9501 kHz, 214.95 mV
 8.9645 kHz, 214.62 mV
 8.9645 kHz, 214.62 mV
 8.9841 kHz, 214.11 mV
 8.9841 kHz, 214.45 mV
 9.0036 kHz, 213.78 mV
 9.0037 kHz, 213.61 mV
 9.0196 kHz, 213.27 mV
 9.0232 kHz, 213.27 mV
 9.0289 kHz, 212.94 mV
 9.0426 kHz, 212.94 mV
 9.0426 kHz, 212.77 mV
 9.0623 kHz, 212.27 mV
 9.0622 kHz, 212.27 mV
 9.0817 kHz, 212.10 mV
 9.0817 kHz, 212.10 mV
 9.0943 kHz, 211.59 mV
 9.1013 kHz, 211.59 mV
 9.1035 kHz, 211.26 mV
 9.1208 kHz, 211.26 mV
 9.1208 kHz, 211.26 mV
 9.1403 kHz, 210.75 mV
 9.1403 kHz, 210.59 mV
 9.1582 kHz, 210.25 mV
 9.1598 kHz, 210.08 mV
 9.1656 kHz, 210.08 mV
 9.1793 kHz, 209.75 mV
 9.1795 kHz, 209.75 mV
 9.1989 kHz, 209.24 mV
 9.1989 kHz, 209.58 mV
 9.2185 kHz, 208.74 mV
 9.2185 kHz, 208.91 mV
 9.2285 kHz, 208.57 mV
 9.2380 kHz, 208.40 mV
 9.2391 kHz, 208.57 mV
 9.2575 kHz, 208.07 mV
 9.2575 kHz, 207.73 mV
 9.2771 kHz, 207.56 mV
 9.2770 kHz, 207.56 mV
 9.2903 kHz, 207.40 mV
 9.2966 kHz, 207.23 mV
 9.3001 kHz, 207.23 mV
 9.3161 kHz, 206.72 mV
 9.3161 kHz, 206.89 mV
 9.3357 kHz, 206.56 mV
 9.3356 kHz, 206.56 mV
 9.3532 kHz, 206.39 mV
 9.3553 kHz, 206.05 mV
 9.3633 kHz, 205.55 mV
 9.3748 kHz, 205.72 mV
 9.3747 kHz, 205.72 mV
 9.3942 kHz, 205.21 mV
 9.3943 kHz, 205.21 mV
 9.4138 kHz, 204.71 mV
 9.4137 kHz, 204.71 mV
 9.4299 kHz, 204.71 mV
 9.4333 kHz, 204.37 mV
 9.4393 kHz, 204.21 mV
 9.4528 kHz, 204.04 mV
 9.4528 kHz, 204.04 mV
 9.4724 kHz, 203.53 mV
 9.4723 kHz, 203.53 mV
 9.4865 kHz, 203.20 mV
 9.4919 kHz, 203.20 mV
 9.4959 kHz, 203.20 mV
 9.5114 kHz, 202.86 mV
 9.5114 kHz, 202.69 mV
 9.5310 kHz, 202.53 mV
 9.5309 kHz, 202.19 mV
 9.5505 kHz, 202.02 mV
 9.5505 kHz, 201.85 mV
 9.5602 kHz, 201.52 mV
 9.5700 kHz, 201.69 mV
 9.5701 kHz, 201.52 mV
 9.5896 kHz, 201.18 mV
 9.5896 kHz, 201.18 mV
 9.6091 kHz, 200.85 mV
 9.6091 kHz, 200.85 mV
 9.6197 kHz, 200.34 mV
 9.6286 kHz, 200.51 mV
 9.6300 kHz, 200.34 mV
 9.6481 kHz, 200.01 mV
 9.6482 kHz, 200.01 mV
 9.6677 kHz, 199.67 mV
 9.6677 kHz, 199.67 mV
 9.6831 kHz, 199.34 mV
 9.6872 kHz, 199.34 mV
 9.6939 kHz, 199.17 mV
 9.7067 kHz, 199.00 mV
 9.7067 kHz, 199.00 mV
 9.7262 kHz, 198.50 mV
 9.7263 kHz, 198.66 mV
 9.7457 kHz, 197.82 mV
 9.7458 kHz, 198.16 mV
 9.7646 kHz, 197.82 mV
 9.7653 kHz, 197.82 mV
 9.7767 kHz, 197.66 mV
 9.7848 kHz, 197.32 mV
 9.7862 kHz, 197.15 mV
 9.8044 kHz, 196.98 mV
 9.8044 kHz, 196.98 mV
 9.8240 kHz, 196.48 mV
 9.8239 kHz, 196.48 mV
 9.8395 kHz, 196.14 mV
 9.8435 kHz, 196.31 mV
 9.8493 kHz, 195.98 mV
 9.8630 kHz, 195.81 mV
 9.8630 kHz, 195.81 mV
 9.8826 kHz, 195.47 mV
 9.8825 kHz, 195.47 mV
 9.9000 kHz, 195.14 mV
 9.9020 kHz, 195.14 mV
 9.9096 kHz, 194.97 mV
 9.9216 kHz, 194.63 mV
 9.9216 kHz, 194.80 mV
 9.9411 kHz, 194.30 mV
 9.9411 kHz, 194.47 mV
 9.9606 kHz, 193.96 mV
 9.9606 kHz, 193.96 mV
 9.9723 kHz, 193.79 mV
 9.9802 kHz, 193.63 mV
, 310.51 mV
, 0.80070 V
, 0.80658 V
, 0.96259 V
, 0.96124 V
, 1.0210 V
, 1.0264 V
, 1.0259 V
, 1.0259 V
, 1.0249 V
, 1.0247 V
 154.29 Hz, 1.0242 V
 156.26 Hz, 1.0242 V
 156.25 Hz, 1.0242 V
 175.77 Hz, 1.0234 V
 175.74 Hz, 1.0227 V
 195.31 Hz, 1.0222 V
 195.30 Hz, 1.0222 V
 214.84 Hz, 1.0210 V
 214.85 Hz, 1.0212 V
 228.39 Hz, 1.0200 V
 234.37 Hz, 1.0200 V
 236.84 Hz, 1.0195 V
 253.91 Hz, 1.0182 V
 253.91 Hz, 1.0185 V
 273.42 Hz, 1.0170 V
 273.44 Hz, 1.0170 V
 289.60 Hz, 1.0157 V
 292.96 Hz, 1.0157 V
 295.10 Hz, 1.0148 V
 312.48 Hz, 1.0136 V
 312.50 Hz, 1.0143 V
 332.05 Hz, 1.0123 V
 332.03 Hz, 1.0126 V
 351.56 Hz, 1.0104 V
 351.57 Hz, 1.0106 V
 363.22 Hz, 1.0086 V
 371.10 Hz, 1.0088 V
 371.09 Hz, 1.0088 V
 390.62 Hz, 1.0068 V
 390.64 Hz, 1.0069 V
 410.18 Hz, 1.0047 V
 410.15 Hz, 1.0047 V
 416.87 Hz, 1.0022 V
 429.69 Hz, 1.0026 V
 429.69 Hz, 1.0024 V
 449.22 Hz, 1.0004 V
 449.21 Hz, 1.0004 V
 467.42 Hz, 0.99785 V
 468.76 Hz, 0.99819 V
 470.77 Hz, 0.99836 V
 488.29 Hz, 0.99584 V
 488.28 Hz, 0.99567 V
 507.81 Hz, 0.99298 V
 507.83 Hz, 0.99315 V
 515.11 Hz, 0.99315 V
 527.35 Hz, 0.99046 V
 527.34 Hz, 0.99030 V
 546.88 Hz, 0.98778 V
 546.88 Hz, 0.98795 V
 558.71 Hz, 0.98559 V
 566.41 Hz, 0.98526 V
 566.42 Hz, 0.98526 V
 585.96 Hz, 0.98240 V
 585.95 Hz, 0.98257 V
 605.47 Hz, 0.97972 V
 605.49 Hz, 0.97955 V
 614.78 Hz, 0.97686 V
 624.98 Hz, 0.97686 V
 624.99 Hz, 0.97686 V
 644.54 Hz, 0.97367 V
 644.53 Hz, 0.97350 V
 664.06 Hz, 0.97048 V
 664.08 Hz, 0.97048 V
 676.63 Hz, 0.96779 V
 683.60 Hz, 0.96746 V
 683.60 Hz, 0.96746 V
 703.14 Hz, 0.96427 V
 703.12 Hz, 0.96443 V
 722.66 Hz, 0.96141 V
 722.65 Hz, 0.96108 V
 742.17 Hz, 0.95789 V
 742.18 Hz, 0.95772 V
 756.13 Hz, 0.95453 V
 761.71 Hz, 0.95453 V
 765.23 Hz, 0.95453 V
 781.24 Hz, 0.95100 V
 781.26 Hz, 0.95100 V
 800.78 Hz, 0.94781 V
 800.79 Hz, 0.94764 V
 810.43 Hz, 0.94428 V
 820.32 Hz, 0.94428 V
 829.87 Hz, 0.94092 V
 839.84 Hz, 0.94042 V
 839.85 Hz, 0.94059 V
 859.37 Hz, 0.93706 V
 859.37 Hz, 0.93706 V
 875.42 Hz, 0.93337 V
 878.90 Hz, 0.93354 V
 881.94 Hz, 0.93337 V
 898.42 Hz, 0.92951 V
 898.42 Hz, 0.92984 V
 917.96 Hz, 0.92648 V
 917.97 Hz, 0.92631 V
 929.45 Hz, 0.92228 V
 937.49 Hz, 0.92228 V
 937.50 Hz, 0.92245 V
 957.03 Hz, 0.91842 V
 957.02 Hz, 0.91893 V
 975.11 Hz, 0.91489 V
 976.56 Hz, 0.91506 V
 979.13 Hz, 0.91523 V
 996.09 Hz, 0.91103 V
 996.10 Hz, 0.91137 V
 1.0156 kHz, 0.90734 V
 1.0156 kHz, 0.90717 V
 1.0234 kHz, 0.90532 V
 1.0351 kHz, 0.90348 V
 1.0352 kHz, 0.90348 V
 1.0547 kHz, 0.89978 V
 1.0547 kHz, 0.89961 V
 1.0733 kHz, 0.89575 V
 1.0742 kHz, 0.89558 V
 1.0791 kHz, 0.89558 V
 1.0938 kHz, 0.89189 V
 1.0937 kHz, 0.89172 V
 1.1133 kHz, 0.88769 V
 1.1133 kHz, 0.88786 V
 1.1217 kHz, 0.88383 V
 1.1328 kHz, 0.88400 V
 1.1328 kHz, 0.88349 V
 1.1523 kHz, 0.87997 V
 1.1523 kHz, 0.87997 V
 1.1685 kHz, 0.87610 V
 1.1719 kHz, 0.87593 V
 1.1742 kHz, 0.87610 V
 1.1914 kHz, 0.87190 V
 1.1914 kHz, 0.87174 V
 1.2109 kHz, 0.86771 V
 1.2109 kHz, 0.86821 V
 1.2223 kHz, 0.86384 V
 1.2305 kHz, 0.86384 V
 1.2305 kHz, 0.86384 V
 1.2500 kHz, 0.85965 V
 1.2500 kHz, 0.85981 V
 1.2695 kHz, 0.85595 V
 1.2695 kHz, 0.85561 V
 1.2834 kHz, 0.85158 V
 1.2891 kHz, 0.85175 V
 1.2910 kHz, 0.85175 V
 1.3086 kHz, 0.84772 V
 1.3086 kHz, 0.84789 V
 1.3281 kHz, 0.84369 V
 1.3281 kHz, 0.84369 V
 1.3366 kHz, 0.84184 V
 1.3477 kHz, 0.83983 V
 1.3477 kHz, 0.83949 V
 1.3672 kHz, 0.83563 V
 1.3672 kHz, 0.83563 V
 1.3863 kHz, 0.83177 V
 1.3867 kHz, 0.83160 V
 1.3950 kHz, 0.82975 V
 1.4062 kHz, 0.82757 V
 1.4063 kHz, 0.82740 V
 1.4258 kHz, 0.82320 V
 1.4258 kHz, 0.82354 V
 1.4424 kHz, 0.81968 V
 1.4453 kHz, 0.81951 V
 1.4515 kHz, 0.81951 V
 1.4649 kHz, 0.81565 V
 1.4648 kHz, 0.81548 V
 1.4844 kHz, 0.81162 V
 1.4844 kHz, 0.81128 V
 1.5015 kHz, 0.80742 V
 1.5039 kHz, 0.80759 V
 1.5116 kHz, 0.80759 V
 1.5234 kHz, 0.80356 V
 1.5234 kHz, 0.80322 V
 1.5430 kHz, 0.79953 V
 1.5430 kHz, 0.79953 V
 1.5590 kHz, 0.79566 V
 1.5625 kHz, 0.79533 V
 1.5655 kHz, 0.79550 V
 1.5820 kHz, 0.79146 V
 1.5820 kHz, 0.79163 V
 1.6016 kHz, 0.78743 V
 1.6015 kHz, 0.78760 V
 1.6158 kHz, 0.78374 V
 1.6211 kHz, 0.78357 V
 1.6279 kHz, 0.78374 V
 1.6406 kHz, 0.77971 V
 1.6406 kHz, 0.77971 V
 1.6602 kHz, 0.77601 V
 1.6602 kHz, 0.77568 V
 1.6781 kHz, 0.77165 V
 1.6797 kHz, 0.77165 V
 1.6871 kHz, 0.76963 V
 1.6992 kHz, 0.76795 V
 1.6992 kHz, 0.76779 V
 1.7187 kHz, 0.76392 V
 1.7188 kHz, 0.76409 V
 1.7327 kHz, 0.75989 V
 1.7383 kHz, 0.76006 V
 1.7386 kHz, 0.76023 V
 1.7578 kHz, 0.75637 V
 1.7578 kHz, 0.75637 V
 1.7773 kHz, 0.75217 V
 1.7773 kHz, 0.75234 V
 1.7959 kHz, 0.74864 V
 1.7969 kHz, 0.74864 V
 1.8003 kHz, 0.74864 V
 1.8164 kHz, 0.74461 V
 1.8164 kHz, 0.74495 V
 1.8359 kHz, 0.74109 V
 1.8359 kHz, 0.74092 V
 1.8482 kHz, 0.73722 V
 1.8555 kHz, 0.73722 V
 1.8555 kHz, 0.73722 V
 1.8750 kHz, 0.73353 V
 1.8750 kHz, 0.73336 V
 1.8945 kHz, 0.72967 V
 1.8945 kHz, 0.72967 V
 1.9101 kHz, 0.72597 V
 1.9141 kHz, 0.72597 V
 1.9196 kHz, 0.72580 V
 1.9336 kHz, 0.72228 V
 1.9336 kHz, 0.72228 V
 1.9531 kHz, 0.71858 V
 1.9531 kHz, 0.71858 V
 1.9727 kHz, 0.71522 V
 1.9727 kHz, 0.71506 V
 1.9794 kHz, 0.71489 V
 1.9922 kHz, 0.71119 V
 1.9922 kHz, 0.71119 V
 2.0117 kHz, 0.70767 V
 2.0117 kHz, 0.70767 V
 2.0232 kHz, 0.70414 V
 2.0312 kHz, 0.70414 V
 2.0312 kHz, 0.70448 V
 2.0508 kHz, 0.70078 V
 2.0508 kHz, 0.70011 V
 2.0703 kHz, 0.69709 V
 2.0703 kHz, 0.69675 V
 2.0824 kHz, 0.69339 V
 2.0898 kHz, 0.69339 V
 2.0916 kHz, 0.69339 V
 2.1094 kHz, 0.68970 V
 2.1094 kHz, 0.68987 V
 2.1289 kHz, 0.68634 V
 2.1289 kHz, 0.68617 V
 2.1394 kHz, 0.68298 V
 2.1484 kHz, 0.68281 V
 2.1484 kHz, 0.68298 V
 2.1680 kHz, 0.67929 V
 2.1680 kHz, 0.67945 V
 2.1844 kHz, 0.67610 V
 2.1875 kHz, 0.67593 V
 2.1933 kHz, 0.67559 V
 2.2070 kHz, 0.67240 V
 2.2070 kHz, 0.67257 V
 2.2266 kHz, 0.66904 V
 2.2266 kHz, 0.66921 V
 2.2461 kHz, 0.66568 V
 2.2461 kHz, 0.66568 V
 2.2548 kHz, 0.66232 V
 2.2656 kHz, 0.66232 V
 2.2656 kHz, 0.66266 V
 2.2852 kHz, 0.65913 V
 2.2852 kHz, 0.65947 V
 2.3004 kHz, 0.65561 V
 2.3047 kHz, 0.65611 V
 2.3092 kHz, 0.65594 V
 2.3242 kHz, 0.65258 V
 2.3242 kHz, 0.65258 V
 2.3438 kHz, 0.64939 V
 2.3438 kHz, 0.64923 V
 2.3597 kHz, 0.64587 V
 2.3633 kHz, 0.64620 V
 2.3697 kHz, 0.64452 V
 2.3828 kHz, 0.64318 V
 2.3828 kHz, 0.64318 V
 2.4023 kHz, 0.63965 V
 2.4023 kHz, 0.63982 V
 2.4188 kHz, 0.63663 V
