Frequency,Amplitude
 2.4219 kHz, 0.63646 V
 2.4256 kHz, 0.63646 V
 2.4414 kHz, 0.63327 V
 2.4414 kHz, 0.63361 V
 2.4610 kHz, 0.63025 V
 2.4609 kHz, 0.63025 V
 2.4805 kHz, 0.62689 V
 2.4805 kHz, 0.62723 V
 2.4904 kHz, 0.62404 V
 2.5000 kHz, 0.62387 V
 2.5037 kHz, 0.62387 V
 2.5195 kHz, 0.62101 V
 2.5195 kHz, 0.62085 V
 2.5391 kHz, 0.61782 V
 2.5391 kHz, 0.61782 V
 2.5508 kHz, 0.61480 V
 2.5586 kHz, 0.61514 V
 2.5595 kHz, 0.61480 V
 2.5781 kHz, 0.61161 V
 2.5781 kHz, 0.61211 V
 2.5968 kHz, 0.60892 V
 2.5977 kHz, 0.60926 V
 2.6027 kHz, 0.60926 V
 2.6172 kHz, 0.60590 V
 2.6172 kHz, 0.60607 V
 2.6367 kHz, 0.60304 V
 2.6367 kHz, 0.60321 V
 2.6489 kHz, 0.60019 V
 2.6562 kHz, 0.60002 V
 2.6589 kHz, 0.60019 V
 2.6758 kHz, 0.59717 V
 2.6758 kHz, 0.59717 V
 2.6953 kHz, 0.59448 V
 2.6953 kHz, 0.59448 V
 2.7102 kHz, 0.59146 V
 2.7148 kHz, 0.59163 V
 2.7169 kHz, 0.59146 V
 2.7344 kHz, 0.58877 V
 2.7344 kHz, 0.58860 V
 2.7539 kHz, 0.58592 V
 2.7539 kHz, 0.58575 V
 2.7632 kHz, 0.58306 V
 2.7734 kHz, 0.58306 V
 2.7734 kHz, 0.58306 V
 2.7930 kHz, 0.58021 V
 2.7930 kHz, 0.58021 V
 2.8092 kHz, 0.57752 V
 2.8125 kHz, 0.57769 V
 2.8166 kHz, 0.57735 V
 2.8320 kHz, 0.57466 V
 2.8320 kHz, 0.57466 V
 2.8516 kHz, 0.57215 V
 2.8515 kHz, 0.57198 V
 2.8711 kHz, 0.56946 V
 2.8711 kHz, 0.56946 V
 2.8770 kHz, 0.56811 V
 2.8906 kHz, 0.56677 V
 2.8906 kHz, 0.56677 V
 2.9102 kHz, 0.56408 V
 2.9102 kHz, 0.56442 V
 2.9232 kHz, 0.56140 V
 2.9297 kHz, 0.56140 V
 2.9331 kHz, 0.56140 V
 2.9492 kHz, 0.55854 V
 2.9492 kHz, 0.55871 V
 2.9687 kHz, 0.55636 V
 2.9688 kHz, 0.55602 V
 2.9835 kHz, 0.55350 V
 2.9883 kHz, 0.55350 V
 2.9925 kHz, 0.55367 V
 3.0078 kHz, 0.55099 V
 3.0078 kHz, 0.55132 V
 3.0273 kHz, 0.54863 V
 3.0274 kHz, 0.54863 V
 3.0426 kHz, 0.54612 V
 3.0469 kHz, 0.54595 V
 3.0498 kHz, 0.54578 V
 3.0664 kHz, 0.54360 V
 3.0664 kHz, 0.54360 V
 3.0859 kHz, 0.54091 V
 3.0859 kHz, 0.54091 V
 3.0988 kHz, 0.53856 V
 3.1055 kHz, 0.53873 V
 3.1055 kHz, 0.53839 V
 3.1250 kHz, 0.53621 V
 3.1250 kHz, 0.53621 V
 3.1442 kHz, 0.53369 V
 3.1445 kHz, 0.53369 V
 3.1549 kHz, 0.53134 V
 3.1641 kHz, 0.53134 V
 3.1641 kHz, 0.53151 V
 3.1836 kHz, 0.52915 V
 3.1836 kHz, 0.52882 V
 3.2031 kHz, 0.52647 V
 3.2031 kHz, 0.52647 V
 3.2148 kHz, 0.52412 V
 3.2226 kHz, 0.52412 V
 3.2231 kHz, 0.52445 V
 3.2422 kHz, 0.52193 V
 3.2422 kHz, 0.52210 V
 3.2617 kHz, 0.51941 V
 3.2617 kHz, 0.51941 V
 3.2740 kHz, 0.51723 V
 3.2813 kHz, 0.51740 V
 3.2813 kHz, 0.51723 V
 3.3008 kHz, 0.51505 V
 3.3008 kHz, 0.51488 V
 3.3204 kHz, 0.51253 V
 3.3203 kHz, 0.51253 V
 3.3283 kHz, 0.51152 V
 3.3398 kHz, 0.51018 V
 3.3398 kHz, 0.51035 V
 3.3594 kHz, 0.50816 V
 3.3594 kHz, 0.50816 V
 3.3789 kHz, 0.50598 V
 3.3789 kHz, 0.50581 V
 3.3877 kHz, 0.50380 V
 3.3984 kHz, 0.50363 V
 3.3985 kHz, 0.50380 V
 3.4180 kHz, 0.50128 V
 3.4180 kHz, 0.50178 V
 3.4375 kHz, 499.43 mV
 3.4375 kHz, 499.43 mV
 3.4466 kHz, 497.25 mV
 3.4570 kHz, 497.08 mV
 3.4570 kHz, 497.25 mV
 3.4765 kHz, 495.23 mV
 3.4765 kHz, 494.90 mV
 3.4944 kHz, 493.05 mV
 3.4961 kHz, 492.71 mV
 3.5027 kHz, 491.03 mV
 3.5156 kHz, 490.70 mV
 3.5156 kHz, 490.87 mV
 3.5352 kHz, 488.85 mV
 3.5351 kHz, 488.85 mV
 3.5531 kHz, 486.67 mV
 3.5547 kHz, 486.67 mV
 3.5621 kHz, 484.48 mV
 3.5742 kHz, 484.32 mV
 3.5742 kHz, 484.48 mV
 3.5937 kHz, 482.64 mV
 3.5938 kHz, 482.47 mV
 3.6110 kHz, 480.62 mV
 3.6133 kHz, 480.62 mV
 3.6202 kHz, 479.61 mV
 3.6328 kHz, 478.44 mV
 3.6328 kHz, 478.44 mV
 3.6523 kHz, 476.26 mV
 3.6523 kHz, 476.42 mV
 3.6718 kHz, 474.58 mV
 3.6897 kHz, 472.56 mV
 3.6914 kHz, 472.39 mV
 3.7110 kHz, 470.71 mV
 3.7109 kHz, 470.38 mV
 3.7222 kHz, 468.70 mV
 3.7305 kHz, 468.70 mV
 3.7321 kHz, 468.53 mV
 3.7500 kHz, 466.68 mV
 3.7500 kHz, 466.52 mV
 3.7695 kHz, 465.00 mV
 3.7695 kHz, 464.67 mV
 3.7884 kHz, 462.82 mV
 3.7891 kHz, 462.99 mV
 3.7995 kHz, 460.97 mV
 3.8086 kHz, 461.14 mV
 3.8108 kHz, 460.81 mV
 3.8281 kHz, 458.96 mV
 3.8281 kHz, 458.96 mV
 3.8477 kHz, 457.28 mV
 3.8477 kHz, 457.28 mV
 3.8658 kHz, 455.43 mV
 3.8672 kHz, 455.26 mV
 3.8755 kHz, 453.75 mV
 3.8867 kHz, 453.59 mV
 3.8867 kHz, 453.59 mV
 3.9063 kHz, 451.91 mV
 3.9063 kHz, 451.91 mV
 3.9221 kHz, 450.06 mV
 3.9258 kHz, 449.89 mV
 3.9319 kHz, 449.22 mV
 3.9453 kHz, 448.55 mV
 3.9453 kHz, 448.21 mV
 3.9648 kHz, 446.36 mV
 3.9649 kHz, 446.36 mV
 3.9795 kHz, 444.68 mV
 3.9844 kHz, 444.68 mV
 3.9881 kHz, 444.68 mV
 4.0039 kHz, 443.01 mV
 4.0039 kHz, 442.84 mV
 4.0234 kHz, 440.82 mV
 4.0234 kHz, 441.16 mV
 4.0366 kHz, 439.31 mV
 4.0430 kHz, 439.48 mV
 4.0440 kHz, 439.31 mV
 4.0625 kHz, 437.46 mV
 4.0625 kHz, 437.80 mV
 4.0820 kHz, 435.78 mV
 4.0820 kHz, 436.12 mV
 4.0913 kHz, 434.27 mV
 4.1015 kHz, 434.27 mV
 4.1027 kHz, 434.27 mV
 4.1211 kHz, 432.43 mV
 4.1211 kHz, 432.59 mV
 4.1406 kHz, 430.75 mV
 4.1406 kHz, 430.91 mV
 4.1601 kHz, 429.07 mV
 4.1601 kHz, 429.07 mV
 4.1712 kHz, 427.56 mV
 4.1797 kHz, 427.39 mV
 4.1811 kHz, 427.56 mV
 4.1992 kHz, 425.71 mV
 4.1992 kHz, 426.04 mV
 4.2187 kHz, 424.20 mV
 4.2188 kHz, 424.03 mV
 4.2383 kHz, 422.69 mV
 4.2383 kHz, 422.69 mV
 4.2578 kHz, 420.67 mV
 4.2578 kHz, 421.01 mV
 4.2715 kHz, 419.49 mV
 4.2773 kHz, 419.16 mV
 4.2782 kHz, 419.33 mV
 4.2969 kHz, 417.98 mV
 4.2969 kHz, 417.65 mV
 4.3164 kHz, 415.97 mV
 4.3164 kHz, 415.97 mV
 4.3280 kHz, 414.62 mV
 4.3359 kHz, 414.62 mV
 4.3359 kHz, 414.79 mV
 4.3554 kHz, 413.11 mV
 4.3555 kHz, 412.95 mV
 4.3736 kHz, 411.60 mV
 4.3750 kHz, 411.60 mV
 4.3833 kHz, 409.75 mV
 4.3945 kHz, 409.92 mV
 4.3945 kHz, 409.59 mV
 4.4141 kHz, 408.41 mV
 4.4141 kHz, 408.58 mV
 4.4323 kHz, 406.90 mV
 4.4336 kHz, 407.07 mV
 4.4427 kHz, 405.39 mV
 4.4531 kHz, 405.39 mV
 4.4531 kHz, 405.22 mV
 4.4727 kHz, 404.05 mV
 4.4727 kHz, 403.88 mV
 4.4908 kHz, 402.37 mV
 4.4922 kHz, 402.70 mV
 4.4995 kHz, 401.86 mV
 4.5117 kHz, 401.19 mV
 4.5117 kHz, 401.02 mV
 4.5313 kHz, 399.68 mV
 4.5313 kHz, 399.34 mV
 4.5508 kHz, 398.17 mV
 4.5508 kHz, 398.17 mV
 4.5600 kHz, 396.82 mV
 4.5704 kHz, 396.82 mV
 4.5703 kHz, 396.66 mV
 4.5898 kHz, 394.98 mV
 4.5899 kHz, 395.48 mV
 4.6075 kHz, 393.97 mV
 4.6094 kHz, 393.97 mV
 4.6133 kHz, 393.80 mV
 4.6289 kHz, 392.29 mV
 4.6289 kHz, 392.46 mV
 4.6484 kHz, 391.11 mV
 4.6484 kHz, 390.95 mV
 4.6590 kHz, 389.77 mV
 4.6680 kHz, 389.60 mV
 4.6712 kHz, 389.43 mV
 4.6875 kHz, 388.09 mV
 4.6875 kHz, 388.09 mV
 4.7071 kHz, 386.92 mV
 4.7070 kHz, 386.58 mV
 4.7247 kHz, 385.24 mV
 4.7266 kHz, 385.57 mV
 4.7321 kHz, 384.23 mV
 4.7461 kHz, 384.06 mV
 4.7461 kHz, 384.23 mV
 4.7656 kHz, 382.89 mV
 4.7656 kHz, 382.55 mV
 4.7844 kHz, 381.54 mV
 4.7852 kHz, 381.04 mV
 4.7931 kHz, 380.70 mV
 4.8047 kHz, 380.03 mV
 4.8047 kHz, 380.20 mV
 4.8242 kHz, 378.86 mV
 4.8242 kHz, 378.52 mV
 4.8437 kHz, 377.18 mV
 4.8437 kHz, 377.51 mV
 4.8621 kHz, 375.83 mV
 4.8633 kHz, 376.00 mV
 4.8710 kHz, 374.82 mV
 4.8828 kHz, 374.82 mV
 4.8828 kHz, 374.66 mV
 4.9023 kHz, 373.48 mV
 4.9023 kHz, 373.48 mV
 4.9210 kHz, 372.14 mV
 4.9219 kHz, 372.14 mV
 4.9286 kHz, 371.47 mV
 4.9414 kHz, 370.96 mV
 4.9414 kHz, 370.96 mV
 4.9609 kHz, 369.45 mV
 4.9610 kHz, 369.62 mV
 4.9802 kHz, 368.11 mV
 4.9805 kHz, 368.28 mV
 4.9876 kHz, 367.94 mV
 5.0000 kHz, 367.10 mV
 5.0000 kHz, 367.27 mV
 5.0097 kHz, 365.59 mV
 5.0192 kHz, 365.92 mV
 5.0192 kHz, 365.76 mV
 5.0388 kHz, 364.75 mV
 5.0388 kHz, 364.75 mV
 5.0583 kHz, 363.24 mV
 5.0583 kHz, 363.41 mV
 5.0701 kHz, 362.23 mV
 5.0778 kHz, 362.40 mV
 5.0779 kHz, 361.73 mV
 5.0973 kHz, 360.89 mV
 5.0974 kHz, 361.22 mV
 5.1169 kHz, 359.88 mV
 5.1169 kHz, 359.71 mV
 5.1298 kHz, 358.54 mV
 5.1364 kHz, 358.70 mV
 5.1383 kHz, 358.70 mV
 5.1559 kHz, 357.19 mV
 5.1559 kHz, 357.36 mV
 5.1755 kHz, 356.18 mV
 5.1755 kHz, 356.35 mV
 5.1899 kHz, 355.18 mV
 5.1950 kHz, 355.18 mV
 5.1995 kHz, 354.84 mV
 5.2145 kHz, 353.67 mV
 5.2145 kHz, 353.67 mV
 5.2341 kHz, 352.83 mV
 5.2341 kHz, 352.32 mV
 5.2535 kHz, 351.48 mV
 5.2536 kHz, 351.31 mV
 5.2632 kHz, 350.64 mV
 5.2732 kHz, 350.47 mV
 5.2731 kHz, 350.14 mV
 5.2927 kHz, 349.47 mV
 5.2927 kHz, 348.96 mV
 5.3122 kHz, 347.96 mV
 5.3122 kHz, 348.46 mV
 5.3239 kHz, 347.12 mV
 5.3317 kHz, 346.95 mV
 5.3327 kHz, 346.95 mV
 5.3513 kHz, 345.77 mV
 5.3513 kHz, 345.94 mV
 5.3708 kHz, 344.93 mV
 5.3708 kHz, 344.43 mV
 5.3877 kHz, 343.59 mV
 5.3903 kHz, 343.42 mV
 5.4029 kHz, 342.58 mV
 5.4098 kHz, 342.75 mV
 5.4168 kHz, 341.91 mV
 5.4294 kHz, 341.57 mV
 5.4294 kHz, 341.41 mV
 5.4489 kHz, 340.40 mV
 5.4489 kHz, 340.23 mV
 5.4684 kHz, 339.22 mV
 5.4685 kHz, 339.22 mV
 5.4826 kHz, 338.38 mV
 5.4879 kHz, 338.22 mV
 5.4890 kHz, 338.38 mV
 5.5075 kHz, 337.38 mV
 5.5075 kHz, 336.87 mV
 5.5270 kHz, 335.86 mV
 5.5270 kHz, 336.20 mV
 5.5443 kHz, 335.02 mV
 5.5466 kHz, 335.02 mV
 5.5580 kHz, 334.02 mV
 5.5661 kHz, 334.02 mV
 5.5699 kHz, 333.51 mV
 5.5856 kHz, 333.01 mV
 5.5944 kHz, 332.00 mV
 5.6052 kHz, 331.83 mV
 5.6058 kHz, 331.67 mV
 5.6247 kHz, 330.99 mV
 5.6247 kHz, 330.66 mV
 5.6443 kHz, 329.82 mV
 5.6442 kHz, 329.82 mV
 5.6596 kHz, 328.64 mV
 5.6638 kHz, 328.64 mV
 5.6693 kHz, 328.64 mV
 5.6833 kHz, 327.80 mV
 5.6833 kHz, 327.80 mV
 5.7028 kHz, 326.80 mV
 5.7028 kHz, 326.46 mV
 5.7223 kHz, 325.96 mV
 5.7223 kHz, 325.96 mV
 5.7362 kHz, 324.78 mV
 5.7418 kHz, 324.78 mV
 5.7468 kHz, 324.78 mV
 5.7614 kHz, 323.94 mV
 5.7615 kHz, 323.94 mV
 5.7809 kHz, 322.77 mV
 5.7809 kHz, 322.93 mV
 5.7980 kHz, 321.76 mV
 5.8005 kHz, 321.59 mV
 5.8077 kHz, 321.09 mV
 5.8200 kHz, 320.75 mV
 5.8200 kHz, 321.09 mV
 5.8395 kHz, 319.74 mV
 5.8395 kHz, 319.74 mV
 5.8591 kHz, 318.90 mV
 5.8591 kHz, 319.07 mV
 5.8786 kHz, 317.90 mV
 5.8787 kHz, 318.23 mV
 5.8947 kHz, 317.22 mV
 5.8981 kHz, 317.06 mV
 5.9097 kHz, 316.38 mV
 5.9176 kHz, 315.88 mV
 5.9208 kHz, 316.05 mV
 5.9372 kHz, 315.04 mV
 5.9372 kHz, 315.21 mV
 5.9568 kHz, 314.20 mV
 5.9567 kHz, 314.37 mV
 5.9763 kHz, 313.19 mV
 5.9763 kHz, 313.36 mV
 5.9905 kHz, 312.69 mV
 5.9958 kHz, 312.35 mV
 6.0020 kHz, 311.85 mV
 6.0153 kHz, 311.51 mV
 6.0153 kHz, 311.51 mV
 6.0348 kHz, 310.67 mV
 6.0349 kHz, 310.67 mV
 6.0543 kHz, 309.67 mV
 6.0544 kHz, 309.67 mV
 6.0650 kHz, 309.16 mV
 6.0739 kHz, 308.66 mV
 6.0744 kHz, 308.83 mV
 6.0935 kHz, 307.82 mV
 6.0934 kHz, 307.82 mV
 6.1130 kHz, 307.15 mV
 6.1130 kHz, 306.98 mV
 6.1311 kHz, 306.14 mV
 6.1325 kHz, 306.14 mV
 6.1410 kHz, 305.30 mV
 6.1521 kHz, 305.13 mV
 6.1520 kHz, 305.13 mV
 6.1716 kHz, 304.46 mV
 6.1716 kHz, 304.46 mV
 6.1911 kHz, 303.62 mV
 6.1911 kHz, 303.45 mV
 6.2076 kHz, 302.61 mV
 6.2106 kHz, 302.61 mV
 6.2189 kHz, 301.94 mV
 6.2302 kHz, 301.61 mV
 6.2310 kHz, 301.61 mV
 6.2497 kHz, 300.93 mV
 6.2497 kHz, 300.93 mV
 6.2692 kHz, 299.93 mV
 6.2692 kHz, 300.09 mV
 6.2888 kHz, 299.26 mV
 6.2887 kHz, 299.26 mV
 6.3080 kHz, 298.25 mV
 6.3083 kHz, 298.42 mV
 6.3195 kHz, 297.41 mV
 6.3279 kHz, 297.24 mV
 6.3278 kHz, 297.24 mV
 6.3473 kHz, 296.90 mV
 6.3474 kHz, 296.57 mV
 6.3669 kHz, 295.56 mV
 6.3669 kHz, 295.73 mV
 6.3860 kHz, 295.06 mV
 6.3864 kHz, 295.06 mV
 6.3942 kHz, 294.72 mV
 6.4059 kHz, 293.88 mV
 6.4060 kHz, 294.22 mV
 6.4254 kHz, 293.38 mV
 6.4255 kHz, 293.21 mV
 6.4450 kHz, 292.54 mV
 6.4450 kHz, 292.20 mV
 6.4621 kHz, 291.87 mV
 6.4645 kHz, 291.70 mV
 6.4718 kHz, 291.36 mV
 6.4841 kHz, 290.69 mV
 6.4841 kHz, 290.86 mV
 6.5036 kHz, 290.19 mV
 6.5036 kHz, 290.02 mV
 6.5231 kHz, 289.35 mV
 6.5231 kHz, 289.18 mV
 6.5343 kHz, 288.68 mV
 6.5427 kHz, 288.68 mV
 6.5489 kHz, 288.51 mV
 6.5622 kHz, 287.33 mV
 6.5622 kHz, 287.67 mV
 6.5817 kHz, 286.83 mV
 6.5817 kHz, 286.66 mV
 6.6013 kHz, 286.16 mV
 6.6013 kHz, 286.16 mV
 6.6135 kHz, 285.48 mV
 6.6207 kHz, 285.48 mV
 6.6232 kHz, 285.32 mV
 6.6404 kHz, 284.48 mV
 6.6403 kHz, 284.48 mV
 6.6598 kHz, 283.81 mV
 6.6599 kHz, 283.64 mV
 6.6771 kHz, 282.97 mV
 6.6794 kHz, 282.97 mV
 6.6844 kHz, 282.63 mV
 6.6989 kHz, 282.29 mV
 6.6989 kHz, 282.46 mV
 6.7184 kHz, 281.62 mV
 6.7184 kHz, 281.79 mV
 6.7337 kHz, 280.78 mV
 6.7380 kHz, 280.78 mV
 6.7441 kHz, 280.78 mV
 6.7574 kHz, 279.94 mV
 6.7574 kHz, 280.11 mV
 6.7770 kHz, 279.27 mV
 6.7770 kHz, 279.27 mV
 6.7966 kHz, 278.60 mV
 6.7966 kHz, 278.77 mV
 6.8111 kHz, 277.59 mV
 6.8161 kHz, 277.59 mV
 6.8204 kHz, 277.42 mV
 6.8357 kHz, 277.26 mV
 6.8356 kHz, 277.09 mV
 6.8552 kHz, 276.25 mV
 6.8552 kHz, 276.42 mV
 6.8747 kHz, 275.58 mV
 6.8747 kHz, 275.58 mV
 6.8873 kHz, 274.91 mV
 6.8942 kHz, 274.91 mV
 6.8987 kHz, 274.40 mV
 6.9137 kHz, 274.07 mV
 6.9138 kHz, 274.23 mV
 6.9333 kHz, 273.39 mV
 6.9333 kHz, 273.39 mV
 6.9528 kHz, 272.55 mV
 6.9528 kHz, 272.89 mV
 6.9724 kHz, 272.05 mV
 6.9724 kHz, 272.05 mV
 6.9831 kHz, 271.55 mV
 6.9919 kHz, 271.55 mV
 6.9941 kHz, 271.38 mV
 7.0114 kHz, 270.54 mV
 7.0114 kHz, 270.54 mV
 7.0310 kHz, 269.87 mV
 7.0309 kHz, 270.20 mV
 7.0505 kHz, 269.20 mV
 7.0505 kHz, 269.36 mV
 7.0647 kHz, 268.69 mV
 7.0700 kHz, 268.69 mV
 7.0743 kHz, 268.36 mV
 7.0895 kHz, 267.85 mV
 7.0895 kHz, 267.85 mV
 7.1091 kHz, 267.18 mV
 7.1091 kHz, 267.35 mV
 7.1286 kHz, 266.34 mV
 7.1286 kHz, 266.68 mV
 7.1399 kHz, 265.67 mV
 7.1481 kHz, 265.84 mV
 7.1494 kHz, 265.67 mV
 7.1676 kHz, 264.83 mV
 7.1677 kHz, 265.33 mV
 7.1871 kHz, 264.49 mV
 7.1872 kHz, 264.49 mV
 7.2067 kHz, 263.82 mV
 7.2068 kHz, 263.99 mV
 7.2263 kHz, 263.15 mV
 7.2263 kHz, 263.15 mV
 7.2458 kHz, 262.48 mV
 7.2459 kHz, 262.65 mV
 7.2652 kHz, 261.97 mV
 7.2653 kHz, 261.81 mV
 7.2767 kHz, 261.13 mV
 7.2849 kHz, 261.13 mV
 7.2877 kHz, 261.13 mV
 7.3044 kHz, 260.63 mV
 7.3044 kHz, 260.63 mV
 7.3239 kHz, 259.96 mV
 7.3239 kHz, 259.96 mV
 7.3434 kHz, 259.12 mV
 7.3434 kHz, 259.29 mV
 7.3606 kHz, 258.62 mV
 7.3630 kHz, 258.62 mV
 7.3713 kHz, 258.11 mV
 7.3825 kHz, 257.94 mV
 7.3841 kHz, 257.78 mV
 7.4021 kHz, 257.44 mV
 7.4020 kHz, 256.94 mV
 7.4216 kHz, 256.60 mV
 7.4216 kHz, 256.77 mV
 7.4382 kHz, 255.93 mV
 7.4411 kHz, 255.76 mV
 7.4515 kHz, 255.59 mV
 7.4606 kHz, 255.59 mV
 7.4622 kHz, 255.09 mV
 7.4802 kHz, 254.75 mV
 7.4802 kHz, 254.92 mV
 7.4997 kHz, 254.08 mV
 7.4997 kHz, 254.08 mV
 7.5172 kHz, 253.58 mV
 7.5192 kHz, 253.41 mV
 7.5283 kHz, 252.74 mV
 7.5388 kHz, 252.91 mV
 7.5387 kHz, 252.91 mV
 7.5583 kHz, 252.40 mV
 7.5583 kHz, 252.23 mV
 7.5778 kHz, 251.73 mV
 7.5778 kHz, 251.56 mV
 7.5896 kHz, 251.23 mV
 7.5974 kHz, 250.89 mV
 7.6001 kHz, 250.72 mV
 7.6169 kHz, 250.39 mV
 7.6169 kHz, 250.39 mV
 7.6364 kHz, 249.88 mV
 7.6364 kHz, 249.88 mV
 7.6560 kHz, 249.38 mV
 7.6559 kHz, 249.38 mV
 7.6755 kHz, 248.71 mV
 7.6755 kHz, 248.71 mV
 7.6908 kHz, 248.04 mV
 7.6950 kHz, 248.20 mV
 7.7022 kHz, 247.87 mV
 7.7146 kHz, 247.53 mV
 7.7146 kHz, 247.53 mV
 7.7340 kHz, 246.86 mV
 7.7347 kHz, 247.03 mV
 7.7536 kHz, 246.36 mV
 7.7536 kHz, 246.36 mV
 7.7731 kHz, 245.68 mV
 7.7731 kHz, 245.68 mV
 7.7927 kHz, 245.01 mV
 7.7926 kHz, 245.18 mV
 7.8038 kHz, 244.51 mV
 7.8122 kHz, 244.68 mV
 7.8152 kHz, 244.51 mV
 7.8317 kHz, 244.01 mV
 7.8317 kHz, 243.84 mV
 7.8513 kHz, 243.33 mV
 7.8513 kHz, 243.17 mV
 7.8708 kHz, 243.00 mV
 7.8708 kHz, 242.83 mV
 7.8829 kHz, 242.33 mV
 7.8903 kHz, 242.16 mV
 7.8941 kHz, 242.16 mV
 7.9098 kHz, 241.49 mV
 7.9099 kHz, 241.49 mV
 7.9294 kHz, 241.15 mV
 7.9294 kHz, 241.32 mV
 7.9489 kHz, 240.48 mV
 7.9489 kHz, 240.48 mV
 7.9667 kHz, 240.14 mV
 7.9684 kHz, 239.98 mV
 7.9766 kHz, 239.64 mV
 7.9880 kHz, 239.47 mV
 7.9880 kHz, 239.47 mV
 8.0075 kHz, 238.97 mV
 8.0076 kHz, 238.97 mV
 8.0271 kHz, 238.13 mV
 8.0270 kHz, 238.46 mV
 8.0414 kHz, 237.79 mV
 8.0465 kHz, 237.62 mV
 8.0497 kHz, 237.62 mV
 8.0661 kHz, 236.95 mV
 8.0661 kHz, 237.12 mV
 8.0856 kHz, 236.45 mV
 8.0856 kHz, 236.78 mV
 8.1052 kHz, 236.28 mV
 8.1052 kHz, 236.28 mV
